ID1,ID2,EdgeType,Score,Annotation
98,268,MS1 annotation,7,[M+Na]+ [M+H]+ dm/z=58.007642656137818
98,302,MS1 annotation,6,[M+Na]+ [M-H-O]+ dm/z=39.997527374378876
98,506,MS1 annotation,6,[M+Na]+ [M+H]+ dm/z=39.993860350135719
105,305,MS1 annotation,4,[M-H-O]+ [M-3H-2O]+ dm/z=18.009476375089889
106,143,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=17.989456906394366
106,311,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.027272047755332
108,127,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.014032148129672
108,371,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=21.978625257420163
108,388,MS1 annotation,3,[M+2H]2+ [M+2H]2+ dm/z=22.004710051674579
108,1304,MS1 annotation,3,[M+2H]2+ [M+2Na]2+ dm/z=22.013172890641158
112,194,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.011213714268933
113,153,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=17.028670009581333
119,200,MS1 annotation,2,[M+Na]+ [M+H]+ dm/z=21.983597096096844
119,432,MS1 annotation,3,[M+Na]+ [M-H-O]+ dm/z=39.993002692237894
124,213,MS1 annotation,1,[M+2H]2+ [M+H]+ dm/z=474.326224961962055
125,552,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=17.047073382018198
127,367,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=22.040652925557538
130,432,MS1 annotation,2,[M+H]+ [M-H-O]+ dm/z=36.110763991272904
134,155,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.012872046307166
139,210,MS1 annotation,2,[M+H]+ [M+Na]+ dm/z=22.012704278263186
139,296,MS1 annotation,1,[M+H]+ [M+H]+ dm/z=22.012338479314394
141,151,MS1 annotation,1,[M+H]+ [M+H]+ dm/z=22.011919757004023
142,437,MS1 annotation,1,[M+H]+ [M+Na]+ dm/z=22.010945071885772
145,372,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.98097489993188
146,254,MS1 annotation,0,[M+H]+ [M+Na]+ dm/z=21.981787699950019
147,216,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=21.981615429561089
151,155,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=22.012020328366816
154,635,MS1 annotation,0,[M+H]+ [M+H]+ dm/z=36.093450928182392
156,220,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.023804468578305
156,617,MS1 annotation,2,[M+2H]2+ [M+2H]2+ dm/z=22.01234900731572
161,234,MS1 annotation,11,[M+2H]2+ [M+H+Na]2+ dm/z=10.986961914224139
161,312,MS1 annotation,11,[M+2H]2+ [M+2Na]2+ dm/z=10.994739015814673
161,519,MS1 annotation,12,[M+2H]2+ [M+2H]2+ dm/z=11.012792272656952
163,209,MS1 annotation,1,[M+H]+ [M+2H]2+ dm/z=408.265439041704894
163,559,MS1 annotation,1,[M+H]+ [M+2H]2+ dm/z=408.258196258281487
166,208,MS1 annotation,5,[M+2H]2+ [M+2H]2+ dm/z=22.015437276162459
166,220,MS1 annotation,4,[M+2H]2+ [M+2H]2+ dm/z=22.003817407060637
169,199,MS1 annotation,3,[M+H]+ [M+H]+ dm/z=35.931477494111334
169,215,MS1 annotation,4,[M+H]+ [M+H]+ dm/z=17.032062676112389
169,727,MS1 annotation,3,[M+H]+ [M+Na]+ dm/z=21.984415840888289
175,353,MS1 annotation,2,[M+H]+ [M+H]+ dm/z=39.992719760292061
177,314,MS1 annotation,1,[M+2H]2+ [M+2H]2+ dm/z=22.018075698183338
